time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1657807200,2022.07.14 14:00:00,139.058,139.222,138.724,138.861,15200,11,0
1657810800,2022.07.14 15:00:00,138.861,139.193,138.826,139.129,18627,11,0
1657814400,2022.07.14 16:00:00,139.13,139.358,139.015,139.127,23429,11,0
1657818000,2022.07.14 17:00:00,139.127,139.377,139.116,139.238,15610,11,0
1657821600,2022.07.14 18:00:00,139.238,139.269,138.702,138.924,27835,11,0
1657825200,2022.07.14 19:00:00,138.924,139.174,138.924,138.938,13150,11,0
1657828800,2022.07.14 20:00:00,138.938,138.952,138.765,138.944,11430,11,0
1657832400,2022.07.14 21:00:00,138.944,138.987,138.706,138.845,8546,11,0
1657836000,2022.07.14 22:00:00,138.845,138.967,138.818,138.899,5684,11,0
1657839600,2022.07.14 23:00:00,138.898,138.97,138.854,138.937,3033,11,0
1657843200,2022.07.15 00:00:00,138.937,138.981,138.897,138.964,391,20,0
1657846800,2022.07.15 01:00:00,138.964,139.121,138.963,139.034,3984,11,0
1657850400,2022.07.15 02:00:00,139.034,139.07,138.919,138.972,4079,11,0
1657854000,2022.07.15 03:00:00,138.972,139.073,138.801,138.852,13461,11,0
1657857600,2022.07.15 04:00:00,138.852,138.939,138.76,138.848,11814,11,0
1657861200,2022.07.15 05:00:00,138.848,139.0,138.795,138.902,7034,11,0
1657864800,2022.07.15 06:00:00,138.902,139.082,138.873,138.995,6917,11,0
1657868400,2022.07.15 07:00:00,138.995,139.053,138.936,139.022,3671,11,0
1657872000,2022.07.15 08:00:00,139.022,139.05,138.913,138.961,4864,11,0
1657875600,2022.07.15 09:00:00,138.962,138.989,138.661,138.669,12350,11,0
1657879200,2022.07.15 10:00:00,138.669,138.934,138.554,138.909,12671,11,0
1657882800,2022.07.15 11:00:00,138.909,138.923,138.747,138.806,5710,11,0
1657886400,2022.07.15 12:00:00,138.805,138.847,138.657,138.776,7818,11,0
1657890000,2022.07.15 13:00:00,138.776,138.789,138.637,138.693,8307,11,0
1657893600,2022.07.15 14:00:00,138.693,138.829,138.651,138.681,6406,11,0
1657897200,2022.07.15 15:00:00,138.681,138.925,138.499,138.572,23912,11,0
1657900800,2022.07.15 16:00:00,138.572,138.848,138.538,138.753,20619,11,0
1657904400,2022.07.15 17:00:00,138.753,138.759,138.377,138.558,24521,11,0
1657908000,2022.07.15 18:00:00,138.558,138.655,138.464,138.55,10141,11,0
1657911600,2022.07.15 19:00:00,138.55,138.635,138.501,138.548,5377,11,0
1657915200,2022.07.15 20:00:00,138.548,138.555,138.471,138.532,3876,11,0
1657918800,2022.07.15 21:00:00,138.532,138.572,138.517,138.561,2974,11,0
1657922400,2022.07.15 22:00:00,138.561,138.58,138.494,138.53,2622,11,0
1657926000,2022.07.15 23:00:00,138.53,138.553,138.487,138.509,1829,11,0
1658102400,2022.07.18 00:00:00,138.522,138.545,138.476,138.524,177,41,0
1658106000,2022.07.18 01:00:00,138.52,138.563,138.429,138.439,1780,11,0
1658109600,2022.07.18 02:00:00,138.439,138.475,138.265,138.29,3600,11,0
1658113200,2022.07.18 03:00:00,138.29,138.327,138.153,138.171,3783,11,0
1658116800,2022.07.18 04:00:00,138.171,138.213,138.021,138.093,7382,11,0
1658120400,2022.07.18 05:00:00,138.093,138.202,138.059,138.183,3154,11,0
1658124000,2022.07.18 06:00:00,138.183,138.454,138.157,138.328,6232,11,0
1658127600,2022.07.18 07:00:00,138.328,138.373,138.26,138.325,4363,11,0
1658131200,2022.07.18 08:00:00,138.325,138.334,138.128,138.286,4432,11,0
1658134800,2022.07.18 09:00:00,138.286,138.306,138.146,138.214,8626,11,0
1658138400,2022.07.18 10:00:00,138.214,138.259,138.0,138.081,11287,11,0
1658142000,2022.07.18 11:00:00,138.081,138.141,137.88,138.104,8032,11,0
1658145600,2022.07.18 12:00:00,138.104,138.278,138.099,138.216,6263,11,0
1658149200,2022.07.18 13:00:00,138.216,138.325,138.146,138.205,4940,11,0
1658152800,2022.07.18 14:00:00,138.205,138.306,138.109,138.275,4615,11,0
1658156400,2022.07.18 15:00:00,138.275,138.41,138.258,138.293,6833,11,0
1658160000,2022.07.18 16:00:00,138.293,138.435,138.072,138.234,10866,11,0
1658163600,2022.07.18 17:00:00,138.234,138.238,137.964,138.027,10935,11,0
1658167200,2022.07.18 18:00:00,138.027,138.264,137.992,138.236,6408,11,0
1658170800,2022.07.18 19:00:00,138.236,138.236,138.062,138.064,4154,11,0
1658174400,2022.07.18 20:00:00,138.065,138.111,138.009,138.074,3743,11,0
1658178000,2022.07.18 21:00:00,138.074,138.123,137.992,138.039,3353,11,0
1658181600,2022.07.18 22:00:00,138.039,138.092,137.987,138.056,2780,11,0
1658185200,2022.07.18 23:00:00,138.056,138.147,138.052,138.115,2222,11,0
1658188800,2022.07.19 00:00:00,138.115,138.157,137.979,138.116,4172,15,0
1658192400,2022.07.19 01:00:00,138.116,138.245,138.099,138.244,9151,11,0
1658196000,2022.07.19 02:00:00,138.244,138.349,138.153,138.252,3206,11,0
1658199600,2022.07.19 03:00:00,138.252,138.387,138.172,138.232,9175,11,0
1658203200,2022.07.19 04:00:00,138.232,138.302,138.156,138.167,8344,11,0
1658206800,2022.07.19 05:00:00,138.167,138.28,138.146,138.189,5542,11,0
1658210400,2022.07.19 06:00:00,138.189,138.19,137.974,137.99,6225,11,0
1658214000,2022.07.19 07:00:00,137.99,138.104,137.925,138.084,3027,11,0
1658217600,2022.07.19 08:00:00,138.084,138.102,137.932,137.993,3992,11,0
1658221200,2022.07.19 09:00:00,137.993,137.994,137.699,137.795,9590,11,0
1658224800,2022.07.19 10:00:00,137.795,138.014,137.702,137.732,14066,11,0
1658228400,2022.07.19 11:00:00,137.732,137.8,137.617,137.716,8538,11,0
1658232000,2022.07.19 12:00:00,137.716,137.755,137.564,137.689,5672,11,0
1658235600,2022.07.19 13:00:00,137.689,137.692,137.463,137.473,6117,11,0
1658239200,2022.07.19 14:00:00,137.473,137.536,137.375,137.472,6254,11,0
1658242800,2022.07.19 15:00:00,137.472,137.756,137.468,137.638,7944,11,0
1658246400,2022.07.19 16:00:00,137.638,137.681,137.438,137.651,7737,11,0
1658250000,2022.07.19 17:00:00,137.651,137.958,137.485,137.868,16328,11,0
1658253600,2022.07.19 18:00:00,137.868,137.96,137.725,137.934,9157,11,0
1658257200,2022.07.19 19:00:00,137.934,138.044,137.853,138.038,4484,11,0
1658260800,2022.07.19 20:00:00,138.038,138.162,138.018,138.151,3655,11,0
1658264400,2022.07.19 21:00:00,138.151,138.236,138.142,138.194,2877,11,0
1658268000,2022.07.19 22:00:00,138.193,138.24,138.158,138.22,3662,11,0
1658271600,2022.07.19 23:00:00,138.221,138.24,138.083,138.152,2310,11,0
1658275200,2022.07.20 00:00:00,138.151,138.171,138.146,138.17,266,14,0
1658278800,2022.07.20 01:00:00,138.161,138.199,138.138,138.163,5017,11,0
1658282400,2022.07.20 02:00:00,138.163,138.231,138.131,138.184,3521,11,0
1658286000,2022.07.20 03:00:00,138.184,138.37,138.071,138.145,9169,11,0
1658289600,2022.07.20 04:00:00,138.145,138.205,137.91,138.047,11618,11,0
1658293200,2022.07.20 05:00:00,138.046,138.22,138.034,138.109,4828,11,0
1658296800,2022.07.20 06:00:00,138.109,138.174,138.035,138.089,3291,11,0
1658300400,2022.07.20 07:00:00,138.089,138.108,137.953,137.985,2503,11,0
1658304000,2022.07.20 08:00:00,137.986,138.109,137.896,138.073,5457,11,0
1658307600,2022.07.20 09:00:00,138.073,138.327,138.045,138.172,4344,11,0
1658311200,2022.07.20 10:00:00,138.171,138.202,138.045,138.128,9239,11,0
1658314800,2022.07.20 11:00:00,138.128,138.262,138.08,138.249,6599,11,0
1658318400,2022.07.20 12:00:00,138.249,138.249,138.066,138.149,3396,11,0
1658322000,2022.07.20 13:00:00,138.149,138.248,138.107,138.184,6624,11,0
1658325600,2022.07.20 14:00:00,138.184,138.24,138.063,138.139,4511,11,0
1658329200,2022.07.20 15:00:00,138.14,138.217,138.035,138.059,8374,11,0
1658332800,2022.07.20 16:00:00,138.059,138.138,137.955,138.079,8130,11,0
1658336400,2022.07.20 17:00:00,138.079,138.224,138.023,138.086,7727,11,0
1658340000,2022.07.20 18:00:00,138.086,138.185,138.014,138.166,4065,11,0
1658343600,2022.07.20 19:00:00,138.166,138.274,138.155,138.249,2868,11,0
1658347200,2022.07.20 20:00:00,138.249,138.274,138.172,138.266,4039,11,0
1658350800,2022.07.20 21:00:00,138.266,138.284,138.226,138.252,2429,11,0
1658354400,2022.07.20 22:00:00,138.251,138.286,138.202,138.208,1691,11,0
1658358000,2022.07.20 23:00:00,138.208,138.305,138.117,138.117,1603,11,0
